Latitude,Longitude,Name of the Building/Place
36.81403046,-119.7498474,Accessible Parking
36.81305771,-119.7498728,Bicycle Parking
36.81515566,-119.7492975,Metered Parking
36.80967447,-119.7448316,Motorcycle Parking
36.81269588,-119.7482461,USU Information Center
36.81266045,-119.748399,Panda Express
36.81185303,-119.749504,Study Area - Henry Madden Library
36.80974211,-119.7516739,Designated Smoking Area
36.81185303,-119.749504,Student Services - Henry Madden Library
36.81385116,-119.7504643,Social Science Building
36.81549493,-119.7467923,Agriculture Operations Center (AGOP)
36.80997,-119.74696,Emergency Phone
36.8140412,-119.7426778,Daily Permit Dispenser
36.81659004,-119.7419214,Student Parking - Beef Unit
36.81372769,-119.7468325,Faculty\/Staff Parking - P 17 (Lot I)
36.81474123,-119.750534,Accessible Parking
36.81308133,-119.7499909,Bicycle Parking
36.81097796,-119.7493699,Metered Parking
36.81070739,-119.743972,Motorcycle Parking
36.80957461,-119.7463873,Passport Center
36.81259388,-119.7433403,Paws-N-Go Cafe
36.81266474,-119.7433001,Study Area - Peters Business
36.81026394,-119.7516686,Designated Smoking Area
36.81303194,-119.7503677,Student Services - Family Food Sciences
36.81367078,-119.7492251, - McKee Fisk
36.81114331,-119.7472617,Amphitheater
36.80987,-119.7454,Emergency Phone
36.81589003,-119.7378874,Daily Permit Dispenser
36.81637961,-119.7368252,Student Parking - P 10 (CATI)
36.8155207,-119.7420877,Faculty\/Staff Parking - P 12 (Lot U)
36.8151374,-119.7505219,Accessible Parking
36.81313609,-119.7507995,Bicycle Parking
36.80947368,-119.7496542,Metered Parking
36.81401221,-119.7433953,Motorcycle Parking
36.81284297,-119.7479296,Post Office
36.81125605,-119.7510463,University Dining Hall
36.81289129,-119.7493726,Study Area - Professional \/ Human Services
36.81203341,-119.7507298,Designated Smoking Area
36.81270125,-119.7484097, - University Student Union
36.81620246,-119.7402263,Animal Science Pavilion (ASP)
36.80922,-119.74567,Emergency Phone
36.81554861,-119.748352,Daily Permit Dispenser
36.81549708,-119.7372839,Student Parking - P 9 (Wet Lab)
36.81519431,-119.7434074,Faculty\/Staff Parking - P 14 (Lot W)
36.81444382,-119.7512475,Accessible Parking
36.81239954,-119.7509041,Bicycle Parking
36.81003202,-119.7490963,Metered Parking
36.81464889,-119.7455813,Motorcycle Parking
36.81284834,-119.7481133,Pro Hair and Nail
36.81328211,-119.7453439,Paws-N-Go Snack Bar SSU
36.81339377,-119.7452366,Study Area - Satellite Student Union
